Subject,Start date,Start time
TUTO Hockey - Hermes @ Marli Areena,9/28/2018,6:30 PM
TUTO Hockey - K-Vantaa @ Marli Areena,10/3/2018,6:30 PM
TUTO Hockey - Peliitat @ Marli Areena,10/12/2018,6:30 PM
TUTO Hockey - Jokipojat @ Marli Areena,10/19/2018,6:30 PM
TUTO Hockey - KeuPa HT @ Marli Areena,10/24/2018,6:30 PM
TUTO Hockey - RoKi @ Marli Areena,11/2/2018,6:30 PM
TUTO Hockey - LeKi @ Marli Areena,11/16/2018,6:30 PM
TUTO Hockey - KOOVEE @ Marli Areena,11/24/2018,5:00 PM
TUTO Hockey - Hermes @ Marli Areena,12/1/2018,5:00 PM
TUTO Hockey - K-Vantaa @ Marli Areena,12/5/2018,6:30 PM
TUTO Hockey - Ketterä @ Marli Areena,12/8/2018,5:00 PM
TUTO Hockey - IPK @ Marli Areena,12/14/2018,6:30 PM
TUTO Hockey - Peliitat @ Marli Areena,12/29/2018,5:00 PM
TUTO Hockey - SaPKo @ Marli Areena,1/4/2019,6:30 PM
TUTO Hockey - KOOVEE @ Marli Areena,1/9/2019,6:30 PM
TUTO Hockey - LeKi @ Marli Areena,1/12/2019,5:00 PM
TUTO Hockey - LeKi @ Marli Areena,1/23/2019,6:30 PM
TUTO Hockey - Ketterä @ Marli Areena,1/30/2019,6:30 PM
TUTO Hockey - KeuPa HT @ Marli Areena,2/2/2019,5:00 PM
TUTO Hockey - RoKi @ Marli Areena,2/15/2019,6:30 PM
TUTO Hockey - KOOVEE @ Marli Areena,2/20/2019,6:30 PM
TUTO Hockey - SaPKo @ Marli Areena,2/22/2019,6:30 PM
TUTO Hockey - Jokipojat @ Marli Areena,3/1/2019,6:30 PM
TUTO Hockey - IPK @ Marli Areena,3/9/2019,5:00 PM
TUTO Hockey - K-Vantaa @ Marli Areena,3/15/2019,6:30 PM
