"","date","time","place","home","away","NA"
"13","Perjantai 12.09.14","18.30","Marli Areena","TUTO Hockey","K-Vantaa",""
"14","Keskiviikko 17.09.14","18.30","Marli Areena","TUTO Hockey","Peliitat",""
"17","Lauantai 27.09.14","17.00","Marli Areena","TUTO Hockey","Hokki",""
"20","Keskiviikko 08.10.14","18.30","Marli Areena","TUTO Hockey","SaPKo",""
"22","Lauantai 11.10.14","17.00","Marli Areena","TUTO Hockey","Jukurit",""
"23","Keskiviikko 15.10.14","18.30","Marli Areena","TUTO Hockey","LeKi",""
"25","Keskiviikko 22.10.14","18.30","Marli Areena","TUTO Hockey","Peliitat",""
"28","Keskiviikko 29.10.14","18.30","Marli Areena","TUTO Hockey","KeuPa HT",""
"29","Perjantai 31.10.14","18.30","Marli Areena","TUTO Hockey","K-Vantaa",""
"31","Keskiviikko 12.11.14","18.30","Marli Areena","TUTO Hockey","KooKoo",""
"32","Lauantai 15.11.14","17.00","Marli Areena","TUTO Hockey","K-Vantaa",""
"35","Keskiviikko 26.11.14","18.30","Marli Areena","TUTO Hockey","JYP-Akatemia",""
"36","Perjantai 28.11.14","18.30","Marli Areena","TUTO Hockey","Hokki",""
"38","Keskiviikko 03.12.14","18.30","Marli Areena","TUTO Hockey","Jukurit",""
"41","Keskiviikko 10.12.14","18.30","Marli Areena","TUTO Hockey","KooKoo",""
"43","Lauantai 13.12.14","17.00","Marli Areena","TUTO Hockey","SaPKo",""
"44","Keskiviikko 17.12.14","18.30","Marli Areena","TUTO Hockey","Peliitat",""
"45","Sunnuntai 28.12.14","17.00","Marli Areena","TUTO Hockey","LeKi",""
"47","Keskiviikko 07.01.15","18.30","Marli Areena","TUTO Hockey","KeuPa HT",""
"51","Perjantai 16.01.15","18.30","Marli Areena","TUTO Hockey","JYP-Akatemia",""
"55","Perjantai 30.01.15","18.30","Marli Areena","TUTO Hockey","Jukurit",""
"57","Keskiviikko 11.02.15","18.30","Marli Areena","TUTO Hockey","LeKi",""
"58","Perjantai 13.02.15","18.30","Marli Areena","TUTO Hockey","Hokki",""
"60","Keskiviikko 18.02.15","18.30","Marli Areena","TUTO Hockey","KeuPa HT",""
"63","Keskiviikko 25.02.15","18.30","Marli Areena","TUTO Hockey","KooKoo",""
"64","Perjantai 27.02.15","18.30","Marli Areena","TUTO Hockey","JYP-Akatemia",""
"66","Keskiviikko 04.03.15","18.30","Marli Areena","TUTO Hockey","K-Vantaa",""
"67","Lauantai 07.03.15","17.00","Marli Areena","TUTO Hockey","SaPKo",""
